Level,Date and Time,Source,Event ID,Task Category,Log,Computer
Error,10/6/2017 8:26:26 AM,EventCreate,1,None,Application,djkvdihost479.jakarta01.com,JAKARTA01\muhdi  
Error,10/6/2017 8:26:23 AM,Application Error,1000,(100),Application,djkvdihost479.jakarta01.com,"Faulting application name: iexplore.exe, version: 11.0.9600.18639, time stamp: 0x58d6bb0d
Faulting module name: Flash32_20_0_0_286.ocx, version: 20.0.0.286, time stamp: 0x56944dbe
Exception code: 0xc0000005
Fault offset: 0x000d9900
Faulting process id: 0x1dcc
Faulting application start time: 0x01d33e3fbb2cc1de
Faulting application path: C:\Program Files\Internet Explorer\iexplore.exe
Faulting module path: C:\Windows\system32\Macromed\Flash\Flash32_20_0_0_286.ocx
Report Id: 5cc908be-aa35-11e7-bed1-0050569f1fac"
Error,10/6/2017 8:26:28 AM,EventCreate,1,None,Application,djkvdihost647.jakarta01.com,JAKARTA01\cinta  
Error,10/6/2017 8:26:26 AM,EventCreate,1,None,Application,djkvdihost135.jakarta01.com,JAKARTA01\fathiya  
Error,10/6/2017 8:26:16 AM,EventCreate,1,None,Application,djkvdihost650.jakarta01.com,JAKARTA01\Siti Atikah  
Error,10/6/2017 8:26:15 AM,EventCreate,1,None,Application,djkvdihost770.jakarta01.com,JAKARTA01\giandripn  
Error,10/6/2017 8:25:48 AM,EventCreate,1,None,Application,djkvdihost589.jakarta01.com,JAKARTA01\Anton 2  
Error,10/6/2017 8:25:41 AM,EventCreate,1,None,Application,djkvdihost083.jakarta01.com,JAKARTA01\GuestISD42  
Error,10/6/2017 8:25:24 AM,EventCreate,1,None,Application,djkvdihost395.jakarta01.com,JAKARTA01\dina  
Error,10/6/2017 8:25:16 AM,EventCreate,1,None,Application,djkvdihost192.jakarta01.com,JAKARTA01\AdindaGita  
Error,10/6/2017 8:25:12 AM,EventCreate,1,None,Application,djkvdihost119.jakarta01.com,JAKARTA01\kristiana  
Error,10/6/2017 8:24:39 AM,EventCreate,1,None,Application,djkvdihost804.jakarta01.com,JAKARTA01\eddy  
Error,10/6/2017 8:24:36 AM,Application Error,1000,(100),Application,djkvdihost804.jakarta01.com,"Faulting application name: OUTLOOK.EXE, version: 15.0.4919.1001, time stamp: 0x58d20482
Faulting module name: OUTLOOK.EXE, version: 15.0.4919.1001, time stamp: 0x58d20482
Exception code: 0xc0000005
Fault offset: 0x004870b2
Faulting process id: 0x19d0
Faulting application start time: 0x01d33e3923da13f4
Faulting application path: C:\Program Files\Microsoft Office\Office15\OUTLOOK.EXE
Faulting module path: C:\Program Files\Microsoft Office\Office15\OUTLOOK.EXE
Report Id: 1d3d97bc-aa35-11e7-a347-0050569f33bf"
Error,10/6/2017 8:24:51 AM,EventCreate,1,None,Application,djkvdihost011.jakarta01.com,JAKARTA01\novianti  
